intento;orientacion;posicion_angular;tipo;excentricidad;frecuencia_espacial;tamanyo
BL1_1;45,000;0,000;magno;0,000;5,000;0,250
BL1_2;135,000;0,000;magno;0,000;10,000;0,250
BL1_3;45,000;0,000;magno;0,000;15,000;0,250
BL1_4;135,000;0,000;magno;0,000;20,000;0,250
BL1_5;45,000;0,000;magno;0,000;25,000;0,250
BL1_6;45,000;0,000;neutro;0,000;5,000;0,250
BL1_7;45,000;0,000;neutro;0,000;10,000;0,250
BL1_8;135,000;0,000;neutro;0,000;15,000;0,250
BL1_9;45,000;0,000;neutro;0,000;20,000;0,250
BL1_10;135,000;0,000;neutro;0,000;25,000;0,250
BL1_11;45,000;0,000;parvo;0,000;5,000;0,250
BL1_12;135,000;0,000;parvo;0,000;10,000;0,250
BL1_13;45,000;0,000;parvo;0,000;15,000;0,250
BL1_14;135,000;0,000;parvo;0,000;20,000;0,250
BL1_15;135,000;0,000;parvo;0,000;25,000;0,250
