intento;orientacion;posicion_angular;tipo;excentricidad;frecuencia_espacial;color_1_h;color_1_s;color_1_v;color_name;umbral_porcentual
BL2_1;45;0;magno;0;10;0;85;100;red;20
BL2_2;135;0;magno;0;10;0;80;100;red;20
BL2_3;45;0;magno;0;10;120;20;100;green;20
BL2_4;135;0;magno;0;10;120;10;100;green;20
BL2_5;45;0;magno;0;10;0;20;100;red;20
BL2_6;45;0;neutro;0;10;0;10;100;red;10
BL2_7;45;0;neutro;0;10;0;0;100;green;10
BL2_8;135;0;neutro;0;10;120;90;100;green;10
BL2_9;45;0;neutro;0;10;120;75;100;green;10
BL2_10;135;0;neutro;0;10;120;60;100;green;10
BL2_11;45;0;parvo;0;10;120;40;100;green;5
BL2_12;135;0;parvo;0;10;0;60;100;red;5
BL2_13;45;0;parvo;0;10;0;40;100;red;5
BL2_14;135;0;parvo;0;10;120;0;100;green;5
BL2_15;45;0;parvo;0;10;120;0;100;green;5
