intento;orientacion;posicion_angular;tipo;excentricidad;frecuencia_espacial;tamanyo;FFT
BL4_1;45,000;0,000;magno;0,000;30,000;0,250;1,000
BL4_2;135,000;0,000;magno;0,000;30,000;0,250;2,000
BL4_3;45,000;0,000;magno;0,000;30,000;0,250;3,000
BL4_4;135,000;0,000;magno;0,000;30,000;0,250;4,000
BL4_5;45,000;0,000;magno;0,000;30,000;0,250;5,000
BL4_6;45,000;0,000;neutro;0,000;30,000;0,250;6,000
BL4_7;45,000;0,000;neutro;0,000;30,000;0,250;7,000
BL4_8;135,000;0,000;neutro;0,000;30,000;0,250;8,000
BL4_9;45,000;0,000;neutro;0,000;30,000;0,250;9,000
BL4_10;135,000;0,000;neutro;0,000;30,000;0,250;10,000
BL4_11;45,000;0,000;parvo;0,000;30,000;0,250;15,000
BL4_12;135,000;0,000;parvo;0,000;30,000;0,250;20,000
BL4_13;45,000;0,000;parvo;0,000;30,000;0,250;25,000
BL4_14;135,000;0,000;parvo;0,000;30,000;0,250;30,000
BL4_15;135,000;0,000;parvo;0,000;30,000;0,250;10,000
