intento;path;posicion_angular;tipo;excentricidad;respusta;tamanyo
BL5_1;semantic_stims/low_B_N209044.png_con_alpha.png;0;magno;0;vivo;0,25
BL5_2;semantic_stims/low_B_N289048.png_con_alpha.png;0;magno;0;vivo;0,25
BL5_3;semantic_stims/low_B_N771063.png_con_alpha.png;0;magno;0;vivo;0,25
BL5_4;semantic_stims/low_B_N824008.png_con_alpha.png;0;magno;0;vivo;0,25
BL5_5;semantic_stims/low_003_0018.png_con_alpha.png;0;magno;0;inerte;0,25
BL5_6;semantic_stims/low_012_0006.png_con_alpha.png;0;magno;0;inerte;0,25
BL5_7;semantic_stims/low_013_0012.png_con_alpha.png;0;magno;0;inerte;0,25
BL5_8;semantic_stims/high_M_N70025.png_con_alpha;0;neutro;0;vivo;0,25
BL5_9;semantic_stims/high_M_N825071.png_con_alpha.png;0;neutro;0;vivo;0,25
BL5_10;semantic_stims/low_M_N197092.png_con_alpha;0;neutro;0;vivo;0,25
BL5_11;semantic_stims/low_M_N815026.png_con_alpha.png;0;neutro;0;vivo;0,25
BL5_12;semantic_stims/low_091_0051.png_con_alpha.png;0;neutro;0;inerte;0,25
BL5_13;semantic_stims/low_043_0001.png_con_alpha.png;0;neutro;0;inerte;0,25
BL5_14;semantic_stims/high_023_0016.png_con_alpha.png;0;parvo;0;inerte;0,25
BL5_15;semantic_stims/high_025_0001.png_con_alpha.png;0;parvo;0;inerte;0,25
BL5_16;semantic_stims/high_041_0080.png_con_alpha.png;0;parvo;0;inerte;0,25
BL5_17;semantic_stims/high_054_0002.png_con_alpha.png;0;parvo;0;inerte;0,25
BL5_18;semantic_stims/high_H_ani23.png_con_alpha;0;parvo;0;vivo;0,25
BL5_19;semantic_stims/high_H_N42026.png_con_alpha.png;0;parvo;0;vivo;0,25
BL5_20;semantic_stims/high_H_N108024.png_con_alpha.png;0;parvo;0;vivo;0,25
