intento;orientacion;posicion_angular;excentricidad;frecuencia_espacial;frecuencia_temporal;contraste;tamanyo;color_r;color_g;color_b;FFT
1;45;0;9;5;0,1;0,5;0,25;1;1;1;10
2;135;15;15;10;0,01;0,5;0,5;1;1;1;20
3;45;30;15;8;0,05;0,5;0,25;1;1;1;30
4;135;180;15;15;0,4;0,5;0,5;1;1;1;0
5;45;200;20;1;0;0,5;0,25;1;-1;1;10
6;45;75;0;2;0,01;1;0,25;240;25;1;0
7;45;90;5;2;0,005;1;0,25;240;50;1;0
8;135;105;0;2;0,01;1;0,25;240;75;1;0
9;45;120;0;2;0,005;1;0,25;240;100;1;0
10;135;135;5;2;0,01;0,5;0,25;1;1;1;0
11;45;150;15;5;0,1;0,5;0,25;1;1;1;0
12;135;165;15;10;0,01;0,5;0,25;1;1;1;0
13;45;180;15;8;0,05;0,5;0,25;1;1;1;0
14;135;195;15;15;0,4;0,5;0,25;1;1;1;0
15;135;210;15;1;0;0,5;0,25;1;1;1;0
